,name,ratings,no_of_ratings,discount_price,actual_price
122,"BabyPro Lab Tested - Certified (Set of 5) Baby Proofing Combo of 2 Metres Edge Guard & 4 Corner Protectors, Thin & Sleek D...",4.0,1515.0,349.0,500.0
123,"Pigeon Strawberry Toothpaste, For babies and Children,Fluroide -free,SLS free,Color free,Paraben Free, PH friendly,45 pack...",4.3,6018.0,264.0,330.0
124,Sebamed Baby Powder 400g |With Olive Oil and Allantoin| For delicate skin,4.5,9830.0,912.0,1040.0
125,"Atogla Curatio Lotion for Baby, 400ml Intense Moisturizing Baby Lotion for All Skin Types, Protects Against Rashes & Preve...",4.4,39.0,797.0,950.0
126,"BeyBee Bed Protector Sheet (Small (50cm X 70cm),Cotton,Salmon Rose)",4.3,39814.0,147.0,199.0
127,"Pampers Premium Care Pants, Large size baby diapers (L), 176 Count, Softest ever Pampers pants",4.2,35.0,3335.0,4796.0
128,Huggies Extra Small / New Born (XS / NB) Tape Baby Diapers (72 Count),4.2,16605.0,1049.0,1099.0
129,Himalaya Anti-Dandruff Hair Cream | Removes & Prevents Dandruff | Non Sticky Oil Replacement Hair Cream | Soothes Scalp | ...,4.0,1405.0,89.0,100.0
130,Wowper Fresh Baby Diaper Pants | Large Size Diapers | Diapers with Wetness Indicator | Upto 10 Hrs Absorption | 9-14 Kg | ...,3.7,3383.0,541.0,798.0
131,Philips Avent My Bendy Straw Cup 300ml/10oz (12M+) (Assorted),4.2,4143.0,484.0,499.0
132,"Little Angel Extra Dry Baby Pants Diaper, Large (L) Size, 48 Count, Super Absorbent Core Up to 12 Hrs. Protection, Soft El...",4.0,46531.0,503.0,799.0
133,"DEVICO Rai Mustard Seeds Pillow with Lavender, Baby-Round Head Shaping Baby Pillow,Neck Support Pillow Gifting 0-12 Months...",4.5,6322.0,474.0,999.0
134,MamyPoko Pants Extra Absorb S52,4.4,11.0,534.0,799.0
135,"Luv Lap Steel Feeding Bottle,SS304 Steel, Rust Free Stainless Steel, Ergonomic Handle, BPA Free, Odour Free, Nipple has An...",4.1,1399.0,487.0,599.0
136,"Chicco Baby Moments Talcum Powder with Natural Ingredients, Soothes & Moisturises Baby’s Skin, Dermatologically Tested, Pa...",4.4,2290.0,185.0,189.0
137,"LuvLap Hippo Spout Sipper for Infant/Toddler, 225ml, Anti-Spill Sippy Cup with Soft Silicone Spout BPA Free, 6m+ (Pink)",4.0,9297.0,199.0,265.0
138,BabyChakra Moisturizing Natural Baby Sunscreen SPF 30+ PA+++ UVA/UVB Protection Non-Sticky & Water-Resistant (60gm),4.1,170.0,144.0,175.0
139,"Cetaphil Baby Daily Moisturizing Lotion 400ml with Organic Calendula for Face & Body, Moisturizer for Kids",4.5,2083.0,1279.0,1425.0
140,"Colgate Kids Strawberry 40g Toothpaste, Cavity Protection",4.4,751.0,61.0,62.0
141,HARISTAR Scooter Style Baby Potty Seat with Wheel and Removable Tray for Kids | Available Wheel | Multi Color Scooter,3.9,1677.0,497.0,799.0
142,"Huggies Complete Comfort Wonder Pants, Small (S) Size Baby Diaper Pants, Combo Pack of 2, 56 count Per Pack, (112 count) w...",4.2,215914.0,979.0,1498.0
143,The Moms Co. Everything for Baby with Suitcase Gift Box and 7 Skin and Hair Care New born Baby Products |Baby gift set for...,4.4,1843.0,1679.0,2399.0
144,Odomos Non-Sticky Mosquito Repellent Cream With Vitamin E & Almond - 50 Gm,4.4,1243.0,50.0,55.0
145,Decals Design StickersKart Wall Stickers Kids Giraffe Height Chart Removable Large Vinyl (Multi-Colour),4.1,6420.0,197.0,664.0
146,ZHUQUA 12 PCS Edge Protector for Furniture Table Corner Guards for Sharp Edges Silicon Corner Protector for Sharp Edges Ge...,4.6,81.0,299.0,329.0
147,"Little's Baby Pants Diapers Medium (M), 7-12 kg, 128 Count with Wetness Indicator and 12 Hours Absorption",4.0,61008.0,1349.0,1796.0
148,R for Rabbit Large L Size Premium Feather Diaper for Baby 9 to 14 kgs (70 Pack Offer),4.2,2388.0,1348.0,1926.0
149,"Decals Design 'Walking in The Garden Flower' Wall Sticker (PVC Vinyl, 70 cm x 25 cm), Multicolour",4.2,11334.0,129.0,664.0
150,Shalimar Baby Diaper Disposable / Nappy Bag Size 30.5 Cm X 40.5 Cm 6 Rolls (90 Bags),4.3,169.0,243.0,270.0
151,"Luvlap Anti-Colic Natura Flo Teat/Nipple for Wide Neck Bottle, 4pcs, Fast Flow, 6m+",4.2,3262.0,184.0,190.0
152,AMAZARA Baby Proofing Edge & Corner Guards | 6.5Ft Edge + 4 Pre-Taped Corner Protectors | Child Safety Furniture Cushions...,4.1,3537.0,316.0,599.0
153,KidDough Baby Proofing Extra Thick Safety Soft Cushion Edge Corner Protector Guard for Kids Safety - 10 pcs (Pre-Taped) (B...,4.2,3118.0,299.0,499.0
154,RSTER Silicon Corner Protector for Sharp Edges Table Corner Protector for Baby Bed Corners Edge Protector Child Safety Cor...,4.5,63.0,279.0,999.0
155,Cable World® Dancing Dog Toy with Music Flashing Lights(Multi Color),3.8,997.0,449.0,999.0
156,Amway NUTRILITE Fiber powedr (Pack of 200 gms powder),4.2,402.0,843.0,1095.0
157,"The Moms Co. Virgin Coconut Natural 10-in-1 Baby Hair Oil with Argan, Marula, Avocado, Bhringraj and Organic Amla, 200 ml",4.3,929.0,334.0,495.0
158,DearJoy Baby Bedding Set / Baby Bedding Mattress Set with Mosquito Net / Baby Bed Set and Baby Play Gym with Mosquito Net...,3.9,7176.0,610.0,2000.0
