name,ratings,no_of_ratings,discount_price,actual_price
"Mamaearth Rose Body Lotion with Rose Water and Milk For Deep Hydration - (400ml, All Skin Types)",4.2,"2,831",381,449
LILTOES Baby Safety Helmet Royal Blue,4.1,318,475,"1,299"
"Mamypoko Extra Absorb Pants for Babies, Pack of 1, Size : XXL : 51 count (36+15)",4.3,"2,054","1,299","1,398"
"Mamaearth Niacin Toner For Face, with Niacinamide & Witch Hazel for Acne and Open Pores - 200 ml",4.1,858,350,399
LILBEE Potty Training Toilet Seat I Potty Seat with Handles Splashguard and Hanging Ring I Compact and Portable I White,4.6,63,499,900
"StarAndDaisy 360° Baby Walker Adjustable Height, Multi-Function Anti-Rollover Folding Walker with Height Adjustable 6-18 M...",4.4,"2,224","2,649","4,499"
"Superbottoms BASIC Quick Dry Pads | Insert | Diaper liner for Adjustable Cloth Diaper,Washable & Reusable Cloth Diapers(Co...",3.8,"1,118",379,750
"Baby Nail File Electric Nail Trimmer Manicure Set with Nail Clippers, Toes Fingernails Care Trim Polish Grooming Kit Safe ...",4.5,"9,170",449,999
"BeeBaby Teddy Teethers for 6 to 12 Months BPA Free. Cooling Water Filled Baby Teether, Soft Teething Toy for Babies with C...",4,4,96.9,149
"LuvLap Instadry Anti-Piling Fleece Extra Absorbent Quick Dry Sheet for baby, Baby Bed Protector, Waterproof baby sheet, Sm...",4.1,"6,205",139,179
"Pampers Premium Care Pants, Extra Large size baby Diapers, (XL) 24 Count Softest ever Pampers Pants,",4.6,"1,012",704,849
