name,ratings,no_of_ratings,discount_price,actual_price
FOKRIM Black Vinyl Marble Aluminum Foil Kitchen Stickers Oil-Proof Waterproof Self Adhesive Wallpaper PVC Bathroom Wall St...,3.6,43,213,799
"wolpin Wall Stickers Wallpaper (45 x 300 cm) Living Room, Bedroom, Textured Embossed Peony Roses Decal Floral Home Decorat...",4,513,199,1499
PARKOTA HOUSE Designer Home Décor Ganesh Mantra Wooden Wall Hangings for home living room bedroom-Large Size Multicolor (M...,4.6,546,279,999
Paper Plane Design wall door hanging wooden home decoration item (MUMMY),4.3,492,249,599
"DECORIA Decor Home Metal Flower Wall Art Decor Large Indoor Wall Hanging Sculptures, Natural Art Home Decoration for Home ...",3.7,10,3099,4999
PAPER PLANE DESIGN wall hanging decor home decoration item (FAMILY),4.2,762,249,699
"JaipurCrafts Webelkart Cast Iron Wall Hanging Showpiece (22.86 x 2.54 x 22.86, Multicolour, Religious)",4.3,1544,499,1799
"GLOBCRATE Wooden Mini Temple for Home and Offfice Wall Mounted, Hanging Pooja Mandir Decoration Shelf Cabinet for Temple W...",3.8,112,285,499
"Good Hope PlexiGlass Food Panda Funny Framed Poster, Multicolor, Print,10 Inch X 13 Inch, Framed",4.6,173,369,499
Party Propz Rainbow Theme Birthday Decorations - Pack of 54 Happy Birthday Decoration Kit with Pastel Balloons | Golden Fo...,3.8,37,289,999
Gold Art India Gaddi Ganesha Premium polyresin Lord Ganesha for Car Dashboard Ganesha Ganpati Idol God of Success and Luck,4.5,130,533,1199
"tu casa DW-440-USB-Led Copper Fairy Light, Waterproof(10 MTRS-100 Bulbs) Nickel Finish -Warm White",4.1,310,164.94,999
Collectible India Buddha Monk Set of 4 Statue Figurines Showpiece - Cute Mini Buddha Idol Statue for Car Dashboard Table T...,4.3,91,219,599
"TIED RIBBONS Artificial Eucalyptus Flowers Leaves (Set of 5, Green, 40.64 cm) for Vase Home Décor Living Room Bedroom Offi...",3.9,21,345,999
"Old Tree Sandalwood Essential Oil for Aromatherapy, 30 ml",4.1,454,474.05,839
HANDCRAFTSZILLA Wooden Wall Clock for Home || Stylish Wall Clock for Home Decor || Vintage Silent Wall Clock for Home || M...,5,1,899,1999
"AHN Pranjals House Metal Religious Kanha Playing Flute Wall Hanging 23 inches For Home Decoration, Red",4.3,357,1599,2999
AMFIN® Happy Birthday Letter Candles / 1st Birthday Candle / Happy Birthday Candle for Birthday Theme / Happy Birthday Can...,3.4,228,127,399
"aarna Scented Piller Candle for Home Dcor and Candle Light Dinner, Party, Home (Size 3X3) (Color- White)",4,5,190,999
Rangoli Large Modern Art Wall Sticker Mullticolor Vinyl Sticker 40cm or 50 cm Pack of 1,3.9,4,89,799
"Evil Eye Hanging for Home, Nazar Battu for Home Entrance Diwali Door Hanging Gift - Evil Eye for Car Hanging (8 inch, Blue...",3.2,14,299,2000
"ISKCON Jagannath 108+1 Beads Polished Neem Japa Mala (Medium, Multicolour)",4.2,146,120,199
"BAASC Stock Market Chart Patterns Poster, Candlestick Chart Pattern Wall Poster, Self Adhesive,Trading Setup for Trader In...",4.3,11,271,799
SF Collection Electric Direct Plug-in Mini Wooden Incense Bakhoor Burner Kapoor Dani Camphor Diffuser for Fragrance Positi...,4,75,169,499
Stash-Pro RipperTipper Brown King Size Smoking Rolling Paper 10 Packs of 32 Leafs with 32 Filter Tips Each,4.4,92,558,1500
